,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-24,-0.44699433487201007,-0.2090365347251324,-0.9368238500289041,0.5652173913043478,-0.4475336322869955,-0.9983914748165276,-1.144092219020173,1.0,-1.1558669001751314,1.4096385542168675,2.4210526315789473,-2.012987012987013,-1.3,-1.33,-0.09,-2.79,-0.66,0.36,-1.65,-0.99,0.01,-2.72,-1.89,-1.72,-1.89,-2.24,-1.08,-5.56,12.74,-2.03,-2.02,-1.95,-1.06,-3.1,-0.97,-0.18,0.02,-1.93,-3.88,-2.49,-2.33,-2.86,-3.98,-1.27,-2.15,-2.62,-1.93,-1.58,-3.23,-0.011428571428571429,-0.011396011396011397,-0.017191977077363897,-0.01002865329512894,0.4314391560164592,1.6829113118717394,2.32085732565579,-0.5677966101694916,-3.4827586206896552,-0.5734072022160664,-0.6666666666666666,-1.641025641025641,1.0,-0.4144736842105263,-0.47506561679790027,1.5490196078431373,0.8571428571428571,-2.1790088336176616,-2.1569750787739905,0.1424100386534686,-4.0376492500083145,0.15772870662460584,3.123345685547906,0.9583414646005907,-0.28111199994433933,0.36864652857851254,-3.9841666266015436,-2.967342653478477,-4.911145460824992,-2.974567371755838,-4.530744336569583,-3.3491912464319604,-1.1627906976744036,20.964360251686845,-2.0929159544450746,-2.63117306828397,-2.8346111076596,-1.6388892799945782,-4.981725610390522,-2.191356101698191,-0.03998248021398819,-0.7083083856676378,-3.23628872180661,-4.977342224953866,-3.8901924985636467,-4.648155474468331,-3.3568449292316713,-5.219175566421201,-1.4793567344749947,-3.53085357263744,-3.8338229120342375,-2.884616460083285,-2.69573143714489,-4.832099566254104,-0.021216407355021217,-0.022535211267605635,-0.022792022792022793,-0.021246458923512748,0.728874438767611,4,0,0,0,0,0
2022-01-25,-0.31410955655679396,-0.1886138136981023,-3.7359477124183007,-1.5416666666666667,-1.0925324675324675,30.125,-1.0,-110.0,36.10112359550562,2.49,-0.3423076923076923,-0.3333333333333333,0.29,0.28,0.28,0.52,-0.16,-0.93,-2.91,-1.49,0.26,0.63,0.31,1.31,0.28,0.2,-5.36,-4.23,3.64,-2.15,0.24,0.55,-0.37,1.21,0.53,-1.03,-0.35,0.33,0.43,0.02,0.94,0.13,0.39,1.65,0.61,1.39,1.43,0.84,0.97,-0.014450867052023121,-0.007204610951008645,-0.01020408163265306,-0.013024602026049204,-0.28418168141275923,-0.6206986991187579,-0.35822317040649165,-1.1728466429928153,-1.8478260869565217,-1.051121076233184,-0.9499346536644214,-1.0,-1.0,-6.782837127845885,7.409638554216867,1.25,-1.6753246753246753,-1.0107638677909878,-1.0486480240351284,0.1838626327990884,-2.290950744558992,-0.15735641227380032,-0.9302325581395358,-4.516531474041342,-2.469012719843876,0.26584592677075575,-2.1116944750400797,-1.5866808201575506,-0.4234937786143501,-1.619548801734645,0.33898305084745795,-4.410316991533772,0.0,16.842514420643788,-4.131189763231534,-1.7841734012907289,-1.4147364679632262,-1.4249844434624177,-1.9240839939914705,-0.4363529548400442,-1.2090422324153434,-0.3384299115036881,-1.6059187472672143,-3.469669501446736,-2.4692488040904124,-1.4139781737819725,-2.7386180882061177,-3.6001514012512983,0.35423636860849633,-1.5553254269683772,-1.2588851684065392,-0.5225215887399033,-0.7498096719737845,-2.295824589866366,-0.025714285714285714,-0.018518518518518517,-0.027220630372492838,-0.022922636103151862,0.02465036981964082,0,0,0,0,0,0
2022-01-26,-0.5140367860600193,-0.781075626261427,-1.9684663162924032,12.025641025641026,11.543859649122806,5.863453815261044,1.0,-1.311926605504587,-0.7989097516656571,-0.16045845272206305,-4.845029239766082,-1.0192307692307692,-0.19,-0.2,0.03,-2.48,1.5,2.24,-2.84,-2.56,0.06,-2.28,-1.24,-3.71,-1.22,0.0,5.8,13.53,4.21,2.75,0.47,3.96,-0.66,-1.81,-0.93,-1.57,-1.13,-2.34,-2.24,-0.86,-0.3,-1.03,-1.95,-0.96,-2.77,-1.66,-1.31,-1.41,0.49,-0.005865102639296188,-0.015965166908563134,-0.01914580265095729,-0.010263929618768328,0.3897215202542097,-0.666682475693621,-0.822367787303728,1.649673202614379,-8.055555555555555,-2.1607142857142856,212.625,0.1,33.0,6.46067415730337,1.93,-3.5288461538461537,-1.0128205128205128,0.09443754428184888,0.08197441227274058,0.3053241583183103,-1.9807299067687936,1.3375295043273112,1.2919896640826827,-5.664737182746325,-4.018648229877343,0.32200987832386463,-1.6677407096229946,-0.9339407744874715,-2.443815792279425,-0.9431709918075201,0.2257336343115126,0.12670565302145018,8.732394366197191,8.006930451987408,0.5402855153515355,0.7082264272739411,4.532206954508129,-1.026221315697343,-0.6199339251428319,-0.40438296377067046,-2.579631222452011,-1.48481218600826,-2.01159323141922,-1.8131747553556017,-0.8334010589707838,0.6408289778795542,-0.9042916005940035,-1.5618525692792482,0.6713640993747615,-2.176996076828643,-0.2859764581538969,0.10433806100846486,-0.5753889487797773,1.4658005992835808,-0.02023121387283237,-0.023054755043227664,-0.029154518950437316,-0.023154848046309694,-0.005211878067127557,1,0,0,0,0,0
2022-01-27,1.6274900398406376,4.445227765726681,-0.09176122348297977,-0.34448818897637795,-4.665734265734265,-0.9956114686951434,-0.7818181818181819,-1.0,-0.3072289156626506,-0.9829351535836177,-3.5467680608365018,106.0,-0.38,-0.38,0.49,0.13,-0.12,0.15,-0.83,-0.41,0.06,0.02,-0.17,1.68,-0.15,5.44,12.57,3.63,2.57,2.04,0.27,-0.17,-0.44,-0.32,-0.82,-0.71,-0.67,0.72,-0.79,-1.02,-0.8,-1.38,-0.71,-0.36,0.93,-1.03,-1.67,-1.16,0.28,-0.01327433628318584,-0.004424778761061947,0.003003003003003003,-0.01037037037037037,-0.3149991898168986,0.27686350435624396,0.19209307847560253,-1.879598662207358,7.538461538461538,-46.98245614035088,-0.9698795180722891,1.0,-1.0,-0.8606904906117504,-0.9856733524355301,8.792397660818713,-3.0576923076923075,-0.5715495824179022,-0.5780515575278078,0.5203288226765832,-2.361906075443073,1.3790386130811718,2.3995826812728245,-3.6388460421896003,-2.9641837308604946,0.12044262665295417,-2.2591615399671814,-1.4135679818336644,-2.0962931132762144,-1.3650391258307537,5.46171171171171,19.093717816683846,17.64705882352941,6.889630408776713,4.849359061241026,0.7348061591548474,3.781575028634697,-1.1038025004653054,-2.128743035432473,-1.7507553295603928,-2.265840908334166,-1.7980007914671274,-1.631770032527225,-3.004876353337503,-1.867114674638102,-1.098537389099879,-2.4009997692911225,-2.647161254263217,-1.314325160853584,-1.8649458654165416,-2.665096695720225,-2.9546299909825167,-2.5510761342804424,0.7707840617083996,-0.01906158357771261,-0.020319303338171262,-0.016200294550810016,-0.020527859237536656,-0.048039632696975004,2,0,0,0,0,0
2022-01-28,0.3872522473735514,0.05387909570759884,0.5562194459532862,-9.126126126126126,-0.6093094238840138,-62.266666666666666,-1.0,1.0,-1.1543478260869566,-2.7,-1.542251418333831,1.1401869158878504,-0.02,-0.04,0.87,-1.21,1.52,3.11,-3.73,-3.5,0.56,-1.4,-0.55,-4.78,-0.54,-3.72,2.75,2.5,-4.6,-0.85,-0.92,1.24,0.14,-2.27,-0.93,0.78,0.58,-0.69,0.29,0.36,-2.04,-1.34,-2.08,-1.29,-0.99,-1.38,-0.31,-1.8,-1.2,0.0014947683109118087,-0.002962962962962963,-0.019461077844311378,-0.017964071856287425,0.434134097300707,2.6449914627205464,4.738611713665944,0.4134188455846078,-6.326771653543307,-2.432167832167832,-1.2688706846108835,-1.0,-0.9705882352941176,-1.1069277108433735,-1.02901023890785,0.38098859315589356,228.0,-0.39929527953687716,-0.4153868655843206,1.3697724773779723,-1.089051146509202,1.3975155279503118,3.2653061224489828,-4.520824548287075,-3.8928207545789775,0.6202198353324757,-1.3775446503243274,-0.7185559898827316,-3.1887459761624743,-0.6874863707835467,1.5202702702702653,15.662416042051962,6.217616580310872,-2.1501928099322183,1.1799090586851075,-0.6579289997155654,1.069376515523572,-0.3059091252647943,-2.5876665659760985,-1.743781833386776,0.06744794843064277,-0.09868755563690866,0.025620864380807185,-0.4983051185343588,-0.6608644642047973,-2.8293710042253726,-2.709311647080148,-2.7750245699964657,-1.6492505493668128,-0.06511531050235346,-2.388952309553424,-1.9714776739748325,-2.9371222102727153,-0.9308214033018936,-0.011799410029498525,-0.007374631268436578,-0.016516516516516516,-0.028148148148148148,-0.017616981437804945,3,1,1,1,0,0
2022-02-04,-0.7782126085100327,-0.8529612876078266,-1.1150144369586141,-1.5166023166023166,-1.1295336787564767,-1.0,-1.1097872340425532,-1.5151515151515151,-1.376053962900506,-14.88888888888889,-0.9120800571837027,-0.06829268292682927,-1.45,-1.47,-0.58,-4.12,-0.85,-1.01,2.15,1.67,0.0,-3.74,-2.36,-4.58,-2.44,3.64,4.56,6.22,10.23,2.28,-1.15,-1.04,-0.45,-3.57,-1.67,-0.44,0.01,-3.07,-6.83,-1.77,-0.72,-1.53,-3.43,-1.22,-4.8,-1.67,0.75,-2.15,-1.04,0.025954198473282442,-0.0014705882352941176,0.022900763358778626,0.015082956259426848,-0.18881231275635504,-0.756645977280712,-0.7358249858249858,-0.6663176265270506,-0.5055432372505543,-0.70703125,-1.0,-1.0,16.0,-10.422535211267606,6.352941176470588,-1.0677312775330396,-0.16593886462882096,-0.830606258497457,-0.8589896240857289,-1.0334653149319066,-3.3511729105186814,-0.8494208494208417,-1.0050251256281415,4.989225073495463,3.5697240560723453,-0.23621195864626582,-3.2565153178586366,-1.4553472987872107,-2.230509225594161,-1.5198370629093854,2.284122562674103,2.805576939526126,-5.092592592592597,10.883430767931944,2.3469385107109955,-0.5023977632919184,-0.6644305276344216,0.7935790863779395,-4.077047852935122,-1.0156945427750588,1.0167633083031407,1.1971486096751374,-2.2773566794537743,-3.9548908777879963,-1.5441971400236587,-0.9913759850166508,-1.8342323505274107,-4.989488477179012,-0.8042943405411704,-2.9138768712157352,-1.3543169077930062,1.064822423159308,-3.3574283468620116,-0.6440403603189782,0.0029850746268656717,0.008915304606240713,0.022900763358778626,0.025914634146341462,0.1562187869402267,3,1,0,0,0,0
2022-02-07,-0.04042348411934552,0.96852083705956,-6.422594142259414,-2.5493273542600896,-7.8,-1.0,-5.10077519379845,-1.0,-0.03139013452914798,-1.112,-1.3658536585365855,-1.6020942408376964,-0.06,0.02,0.11,1.33,1.99,1.27,1.26,1.57,-0.1,1.58,0.53,0.6,0.52,4.34,9.49,16.1,-4.64,2.26,1.66,1.58,-0.41,3.74,-1.07,-0.8,-1.2,0.47,0.14,-1.72,1.64,1.15,3.77,1.06,0.77,-1.36,0.06,0.44,2.0,-0.002976190476190476,-0.0014727540500736377,0.0,0.004457652303120356,-0.45434587920143926,-0.7871780276077985,-0.710551230801599,-0.3763233878729548,-0.1996138996138996,-0.11917098445595854,-1.022940305870745,-0.5497872340425531,-1.0,-1.3642495784148398,0.5555555555555556,-1.0321658327376697,-1.5609756097560976,-1.5144541649983752,-1.4482136819564972,-0.4742734280909964,-2.838334050084356,1.1196911196911337,0.251256281407041,3.4369379366708945,3.263568264158142,-0.10087872876127894,-2.216326930659256,-1.8515484188104212,-4.005922896200409,-1.9344913843445162,8.18746470920384,14.484558503697267,23.316062176165794,5.115433014762654,4.5887098621548414,0.4825254444302405,0.5222761051646824,-0.8571306929893562,0.03159354468755133,-2.7223316030886435,-1.2349201145537616,-1.1893952320592824,-2.6069433537568942,-6.697525092606795,-3.4603331885060657,0.91126790381979,-0.39915383746808203,0.21205068229279392,-0.17470504285018457,-4.065158930345443,-3.0020917577707436,0.8075197239393755,-1.7230733563518932,0.9442103983903155,0.022900763358778626,-0.0029411764705882353,0.022900763358778626,0.0196078431372549,-0.557372095714451,4,0,0,0,0,0
2022-02-08,-0.2657973921765296,-0.9333999636561875,-1.7073688271604939,-0.9879401833092137,-1.3235294117647058,21.161290322580644,-1.281663516068053,1.0,-2.087962962962963,8.071428571428571,-0.022222222222222223,-1.4608695652173913,0.0,-0.03,-0.09,-0.86,1.35,3.59,-0.38,-0.19,-0.12,-0.58,-0.37,-0.02,-0.37,0.48,-2.09,-5.47,-1.55,-1.07,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,0.008955223880597015,0.0,-0.005970149253731343,-0.0073964497041420114,0.17468663306656596,-0.29547641963426374,-0.8688964407082812,2.835774058577406,-1.0186846038863977,1.2,-1.0,0.15503875968992248,-0.4117647058823529,-2.0538116591928253,-2.016,-1.3577235772357723,-0.7225130890052356,-0.057050948789096945,-0.005719024334448543,0.013630346911526571,0.4657661853749418,1.3451191391237565,3.5931174089068914,0.8748372635383935,1.3752756569581863,-0.21676240339484407,0.9860319990723275,0.15104050123070037,0.5762488242124224,0.14360884791309972,0.15657620041754247,-1.6413373860182416,-6.302521008403356,-6.119095473411364,1.1631805592168067,1.9907536206947278,2.903597627877501,-0.5345877855355133,3.510248579495433,-0.9980761782071008,-0.9951214163860019,-1.1006298649101312,-0.18666252075293907,-2.097873623424891,-2.1351445337270647,2.107306765525088,1.2381174407983526,3.4442829704629787,1.0372277562192653,-0.32332230614521623,-1.6846444384707546,0.12281464496586203,1.4616263955481945,2.6292793372995815,0.005952380952380952,-0.0014727540500736377,-0.005970149253731343,-0.0029717682020802376,-0.3590273980202414,0,0,0,0,0,0
2022-02-09,0.6780510018214936,8.069577080491133,-0.8532860649031906,-25.16,-1.034848484848485,-0.00048520135856380397,-1.9932885906040267,113.7,-2.147517730496454,-1.0,3.977272727272727,-0.33962264150943394,1.06,1.07,0.26,1.2,3.68,2.34,-0.46,0.05,-0.04,1.28,0.82,2.4,0.84,2.37,3.95,27.35,-6.21,-2.15,1.38,-2.12,0.79,1.5,1.0,0.11,0.33,1.28,-0.1,1.57,2.45,0.47,1.47,0.54,1.33,1.58,0.86,0.09,2.03,0.0,-0.0014749262536873156,0.006006006006006006,-0.0014903129657228018,-0.3042558979178001,0.23202942159812773,-0.395965836816282,-1.1037808641975309,-1.291365171249397,-0.9887254901960785,21.150537634408604,-0.720226843100189,1.0,0.24845679012345678,-1.0,3.8666666666666667,-1.3043478260869565,1.063111288434241,1.040654125450283,0.1686169645350628,0.3336624561642436,5.073020753266723,6.022267206477744,-0.8417574653093954,-0.13780657279829278,-0.15856457333612275,0.6840712362297372,0.4451864218141347,2.3764306205380104,0.4666106733858604,2.879581151832469,1.777609682299535,20.38999576091563,-7.665800309792198,-3.195750218029935,1.7182406619545576,-0.8449904535651349,0.6600881543677548,1.280618058876361,1.0749864593842091,-0.08910536476927561,0.43324077172024295,0.6095163861935876,-2.336734767921024,1.136035706952669,2.9167442676413446,0.552700493700172,1.145197301088269,0.516160871625489,0.22698560717806932,1.2440748125653969,0.9259432066436698,1.1038401117870567,2.6561950300910286,0.008955223880597015,-0.0014749262536873156,0.0,-0.008875739644970414,-0.1827187032491394,1,1,1,0,0,0
2022-02-10,-0.5451831750339213,0.10439229843561973,-8.392193308550185,-1.228476821192053,15.434782608695652,-1.0,-0.11486486486486487,-1.0,3.165636588380717,-1.0,-0.6894977168949772,1.3142857142857143,0.86,0.85,-0.15,2.06,-1.65,-0.48,1.7,0.81,-0.19,2.08,1.45,3.35,1.45,-1.01,1.55,-1.76,-6.9,0.34,0.59,0.51,0.82,1.11,1.37,0.44,0.02,2.31,2.45,2.13,-1.13,2.23,1.52,0.38,2.46,2.29,1.71,2.52,0.09,-0.0014792899408284023,0.0014771048744460858,0.004477611940298508,0.008955223880597015,-0.10517336366382911,-0.23679417122040072,9.016371077762619,-2.0845377692937004,4.52,-1.5727272727272728,-1.0,-1.8791946308724832,-1.0,-5.780141843971631,-0.6771653543307087,0.5454545454545454,0.5283018867924528,1.9290621550207054,1.9217020789842432,0.10693245419979815,3.2864575284603097,1.9719378081152845,1.85637518319491,1.2374921704125403,0.8666491280590507,-0.23561456131408898,3.3869247632010095,2.278947662402949,5.83344836735606,2.3040364684970887,1.3548723293381981,5.562422744128559,25.112107623318398,-12.685920596894976,-1.8177792797440493,1.9833093162644015,-1.6231171099668207,1.6123829589612029,2.6294211814166712,2.3857612732859956,0.544318911414912,0.3469856507232397,3.612232818775582,2.348306317293486,3.7304871163534807,1.289470418972885,2.7096445902107824,3.007091297461816,0.9207834455846119,3.8181734996783923,3.9033177018560385,2.588822379671007,2.6051460721768405,2.1219148085076704,-0.0014792899408284023,0.0,0.010510510510510511,0.007451564828614009,-0.37742964538305557,2,1,1,1,1,1
2022-02-11,-9.099045346062052,-5.0100789975483515,-1.5710334422931858,1.144927536231884,-3.798941798941799,-1.0,-6.229007633587786,-1.0,-0.988427299703264,-0.4146341463414634,-1.2058823529411764,-1.4567901234567902,-1.47,-1.41,0.06,-2.24,-0.11,-0.1,-1.63,0.11,0.48,-2.1,-1.75,-3.22,-1.81,5.04,17.77,46.59,19.79,0.25,-0.85,-0.68,-1.57,-1.78,-1.65,-2.61,-1.03,-2.75,-1.41,-0.57,-0.2,-1.85,-1.77,-0.77,-2.48,-1.5,-1.84,-2.4,-0.32,0.017777777777777778,0.017699115044247787,0.008915304606240713,0.020710059171597635,0.2073841631745149,-4.683582089552239,-5.42870036101083,3.221189591078067,-1.490066225165563,-47.0,-0.5927184466019417,-5.628378378378378,-1.0,-0.9517923362175525,-1.0,-1.0639269406392695,-2.057142857142857,-0.6237283102266549,-0.5743874144077868,-0.09724105819011816,-0.22735756218398995,-1.7556693489392847,-0.5727923627684969,0.04579323953525282,0.9270067107626879,0.2908847745225075,-0.062070363795489226,-0.33240997229916897,0.027444956081164137,-0.38659394807962694,3.9694656488549653,19.598662207357865,44.014084507042256,11.520518898452815,0.5819120854014064,-0.25965355933650214,-0.17082486550265527,-0.7711725536369732,-0.6833961266026187,-0.30971978555731944,-2.1807263304831004,-1.0149037384694104,-0.5078124288810744,1.0074336558433643,1.5513719325907882,-1.3272200183609588,0.3454256968310142,-0.27234100698517905,-0.39814122234066984,-0.08313400502186052,0.7510573626747977,-0.1600204817882289,0.05659104572537678,-0.2295345491047601,0.016272189349112426,0.019202363367799114,0.013432835820895522,0.029850746268656716,0.08039950949901367,3,0,0,0,0,0
2022-02-14,-0.41376897008987773,-0.20902112628218192,2.209158960810216,-6.3175675675675675,-0.47542533081285443,-0.9547079856972587,-0.020437956204379562,-1.0,-113.3076923076923,1.875,-5.714285714285714,-0.5135135135135135,-1.43,-1.46,0.55,-3.13,2.35,3.26,-2.04,-0.87,-0.03,-2.78,-1.96,-4.83,-1.9,-6.13,-7.56,-8.8,14.43,3.58,-1.45,2.79,-1.34,-2.82,-1.5,0.01,-0.31,-3.01,-2.54,-1.52,-0.74,-1.39,-2.74,-1.81,-3.32,-2.2,-1.51,-0.95,-1.37,0.001455604075691412,0.002898550724637681,0.0014727540500736377,-0.0014492753623188406,0.12322142351915516,-5.74791169451074,-4.171887769000272,-2.8325370882574803,-12.405797101449275,-2.4682539682539684,-1.0,-6.122137404580153,-1.0,-2.2997032640949553,0.6829268292682927,-0.029411764705882353,-1.2222222222222223,-2.879664260503026,-2.845038018012963,0.6063152983360484,-5.304806077834854,2.2313127556712553,3.165467625899273,-3.6363486454463043,-0.7634987801125277,0.45475482601231637,-4.825409709398194,-3.6753863797717217,-7.895240276107192,-3.6741527474396025,-1.3881748071979503,8.862704918032785,33.69175627240142,37.07415764179839,3.8367105414980838,-2.286464015227637,2.0967483075672195,-2.8908989527060207,-4.550147187798371,-3.132636475662397,-2.5980284687379913,-1.3366199972970134,-5.675132525771078,-3.9128130311692653,-2.0791530335830353,-0.9395830122981464,-3.208983774042514,-4.454115089001788,-2.5662099043254893,-5.7137618224089985,-3.6657367791629105,-3.3269038069577546,-3.32980082430819,-1.6886676711948194,0.01925925925925926,0.02064896755162242,0.010401188707280832,0.019230769230769232,0.3561597584953626,4,0,0,0,0,0
2022-02-15,-2.400377002827521,-2.0119804190999657,-1.1727497255762898,-1.4695044472681067,-1.1207207207207208,-0.8157894736842105,-0.9061102831594635,-1.0,-1.1442922374429223,0.18840579710144928,0.7575757575757576,-8.666666666666666,-0.49,-0.45,0.29,0.09,-1.02,0.23,-2.81,-1.57,-0.18,-0.0,-0.35,0.15,-0.38,3.53,5.56,4.83,3.55,2.53,-1.12,-2.24,-1.09,0.58,-0.4,-0.8,-0.29,-0.03,0.32,-0.87,-1.0,-0.48,0.41,-1.09,0.17,0.55,-0.39,-1.88,-1.02,-0.015988372093023256,-0.01878612716763006,-0.013235294117647059,-0.026124818577648767,0.4795706168355691,-1.820944452630028,-1.8004551321241764,-1.5543813298106561,1.4966216216216217,-1.063327032136106,-0.9916567342073898,-0.908029197080292,-1.0,15.205128205128204,2.4166666666666665,-9.285714285714286,-4.72972972972973,-1.9165366027599446,-1.9010216568485159,0.8456548708936448,-3.0474117406979118,-1.0237659963436938,0.23342670401493437,-4.788542224808057,-2.4333209292903493,-0.20919630280956397,-2.7825303359230404,-2.3012784880489163,-4.691613413159166,-2.273282327500085,-2.79001468428782,-2.4235645041014124,-4.400977995110015,18.485989562949925,6.208279930540931,-2.5574242075572657,0.4883446226233758,-2.417284340960176,-2.2581799149216017,-1.8980669850433558,-0.7882189101452522,-0.5958736519251377,-3.0377827993576743,-2.2233329156607433,-2.3763762254904752,-1.7360553210285739,-1.865375037399338,-2.335813782186758,-2.8756520487930333,-3.1496787905536836,-1.660302318635527,-1.8976802232086198,-2.819512727194084,-2.3842708524369596,-0.01455604075691412,-0.015942028985507246,-0.011782032400589101,-0.02753623188405797,0.6618854144391624,0,0,0,0,0,0
2022-02-16,0.05850944496791852,0.14834302202231933,1.6576648133439238,-2.550744248985115,6.507462686567164,6.428571428571429,-7.968253968253968,-1.0,4.8386075949367084,0.08536585365853659,-1.8017241379310345,-0.7608695652173914,1.22,1.26,-0.38,2.5,0.11,0.98,-1.51,-1.03,-0.05,2.53,1.6,5.47,1.58,2.9,0.46,6.39,-9.28,-3.55,1.38,-1.39,1.15,2.08,1.51,-0.55,0.18,2.74,1.26,1.89,2.44,2.14,2.2,2.04,2.8,2.2,1.67,2.66,1.89,-0.008862629246676515,-0.007363770250368188,-0.00894187779433681,-0.00894187779433681,-0.3017687640427196,-2.4823122840087968,-2.162100652696668,-1.4591108671789244,-0.2719186785260483,-1.9063063063063064,0.3684210526315789,-1.65424739195231,-1.0,-1.8424657534246576,0.2898550724637681,-2.409090909090909,-2.8333333333333335,0.721920740974051,0.7999537932826986,-0.08327192101952911,2.591201151644956,-0.9140767824497225,1.2138188608776959,-4.273893999498736,-2.5901540878323748,-0.22676493147030605,2.527775893423503,1.2473069509014627,5.622166292901716,1.1865641916969787,6.517205422314923,6.043697478991588,11.528150134048252,-6.067250768934757,-1.106335978709154,0.24465364094746717,-3.59675313303894,0.03952353398923426,2.6722517801348644,1.1069437032338063,-1.341017952007062,-0.10577270194648064,2.701386660969582,1.586219151003126,1.0038806080925713,1.4210708765289919,1.6493774307617046,2.6231501384771985,0.9289943549923552,2.974076496257889,2.7611324315996177,1.2758766370933672,0.7215613398339714,0.8411694572263153,-0.024709302325581394,-0.02601156069364162,-0.022058823529411766,-0.03483309143686502,0.03308242047917521,1,1,1,1,1,0
2022-02-17,-0.8969098384977322,-0.9178213797435614,-1.0666467423789598,-1.1273996509598603,-1.073558648111332,-1.25,-0.9384965831435079,-1.0,-1.0035230352303524,3.044943820224719,-0.43010752688172044,-2.1818181818181817,-0.16,-0.15,-0.31,-0.07,-0.33,-0.97,4.55,1.99,-0.02,-0.11,0.12,0.03,0.09,-0.17,-3.2,-7.93,-5.49,1.73,0.0,0.76,0.13,0.27,0.52,0.18,0.2,-0.17,-0.2,0.65,0.3,0.53,0.04,1.03,-0.23,0.3,-0.07,-0.32,0.25,0.004470938897168405,0.005934718100890208,0.009022556390977444,0.015037593984962405,-0.2004451185801568,-0.8908780903665814,-0.9056307548690966,-1.1771247021445592,-0.8024357239512855,-1.5522388059701493,-2.857142857142857,-1.4285714285714286,-1.0,-1.0205696202531647,3.3902439024390243,-1.456896551724138,-1.2826086956521738,1.0649072092250598,1.1023759101853732,-0.6839264728960771,2.4345751771556867,-0.22164758034723986,0.0,2.973773970160987,0.931785457975816,-0.06598069020812845,2.415864378608491,1.729631315430132,5.503827455990468,1.666185788575703,2.719033232628401,-2.751241880015293,-2.0460358056266004,-14.260497772886014,-1.8856017595081511,1.382856939559281,-0.6352019400086019,1.2792054033095188,2.348759351339775,2.0399562240277103,-0.3735153405275317,0.3808817102668466,2.556502564797558,1.058315839035599,2.546958597972173,2.7539166472675047,2.6832185912006294,2.2450175471984566,3.0914452288722654,2.5569602511068905,2.510849959499296,1.605453569551506,2.332849784749521,2.1354021876451763,-0.004431314623338257,-0.0014727540500736377,0.0,0.005961251862891207,-0.4417258069305461,2,1,1,0,0,0
